goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,total_cross,corner_taken,touches,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
89,51,1,646,243,17,16,9,2,74,15,2,89,20,33,138,574,803,6,1165,749,2,3,2,20184,103,2189,1018,279,28113,3,521,1,37,26
74,57,2,594,234,17,13,4,1,68,7,0,89,13,51,104,427,623,5,829,449,0,6,5,23524,117,1994,572,225,30635,5,412,1,39,24
35,62,1,384,132,8,8,0,1,28,8,2,87,6,68,142,461,678,9,1164,609,2,5,5,12892,33,2528,598,136,20368,3,402,0,27,14
55,47,2,531,161,11,8,7,3,44,11,3,97,6,78,206,451,780,7,1616,860,5,3,2,15113,75,2582,836,183,23616,16,499,0,49,29
55,59,3,633,207,21,13,2,1,44,11,4,100,11,40,126,592,720,7,1172,677,2,2,2,15829,54,2055,989,257,23854,8,449,0,61,28
48,82,1,500,136,9,14,3,0,41,7,1,75,9,45,134,496,729,8,1159,694,0,5,5,15386,12,2429,887,195,23427,3,428,0,68,12
46,50,5,495,163,8,7,5,0,40,6,0,55,3,77,169,694,732,9,1255,648,1,3,2,13580,101,2123,769,210,21694,8,442,1,58,16
43,54,9,539,150,15,10,2,3,36,7,0,83,7,66,187,547,764,1,1412,800,2,3,3,13383,42,2149,796,195,21309,8,429,0,26,22
59,44,5,491,175,18,10,4,0,53,6,2,55,10,55,160,511,730,3,994,489,1,6,5,17947,57,2742,782,218,25741,4,453,0,53,14
62,42,4,606,220,11,17,3,2,52,10,1,108,16,38,107,423,636,1,768,419,2,2,2,21264,70,2140,755,230,28728,3,415,0,27,12
45,50,4,423,143,5,5,2,2,34,11,3,103,11,53,151,482,916,3,1852,819,2,4,2,15149,45,2289,695,156,23416,7,559,2,45,43
28,55,3,498,140,7,1,1,2,25,3,0,121,7,57,144,607,784,23,1582,846,6,2,2,13124,124,2130,983,172,23322,5,540,0,85,18
